latitude,longitude,month,day_of_year,prev_concentration,sst,air_temperature,wind_speed,wind_direction,current_speed,wave_height,target_concentration
-63.002,-111.392,11,3,32.5,0.13,-5.1,17.7,46.4,0.75,2.51,32.2
-63.171,-72.647,5,234,35.1,0.32,-8.2,37.9,358.4,0.68,3.54,35.3
-74.608,161.31,7,10,75.4,-1.19,-27.3,32.2,212.3,0.39,0.87,77.5
-77.327,135.556,5,274,80.2,-1.65,-30.2,9.0,301.0,0.18,0.36,82.1
-75.775,-89.014,12,79,59.7,-1.38,-27.5,20.6,36.4,0.98,1.82,61.9
-70.461,143.504,9,317,59.3,-0.98,-21.7,12.3,71.9,0.55,1.58,60.2
-65.338,-73.674,1,281,25.6,-0.22,-4.9,17.2,1.0,1.24,3.96,26.5
-65.958,-126.308,2,262,17.4,0.01,-5.8,28.8,164.4,1.76,1.56,16.9
-63.363,134.691,5,185,37.2,0.12,-5.3,8.5,273.0,0.18,3.28,37.8
-74.931,-51.29,8,319,79.1,-1.23,-26.0,17.7,41.0,0.78,0.95,81.4
-65.582,-7.832,7,333,58.5,-0.28,-14.7,31.9,353.4,1.54,0.52,60.2
-69.312,24.82,8,93,67.3,-0.43,-16.3,36.9,316.8,1.34,2.18,68.3
-69.214,139.534,8,24,56.0,-0.49,-20.9,37.1,188.9,1.36,2.2,56.8
-60.796,134.332,9,268,38.5,0.66,-5.7,31.9,173.5,1.23,2.52,38.1
-63.124,141.142,10,28,27.6,0.53,-7.7,22.4,178.5,0.38,3.28,27.7
-72.044,-79.863,9,115,73.3,-1.05,-18.2,7.9,159.9,1.07,0.37,74.5
-72.311,173.041,12,335,44.4,-1.07,-22.4,25.3,297.3,1.45,3.35,46.1
-61.978,22.44,11,344,25.7,0.33,-2.6,35.2,304.0,0.66,3.41,26.0
-65.1,-49.214,8,59,42.9,0.09,-15.3,18.1,228.1,1.46,2.08,43.6
-76.086,142.876,8,72,94.1,-1.39,-27.3,14.4,70.5,0.31,1.03,95.4
-63.158,-111.392,6,56,42.7,-0.01,-6.7,29.9,44.4,1.62,1.8,43.3
-68.924,166.988,1,272,42.3,-0.51,-13.9,26.6,332.8,1.43,3.27,43.5
-74.874,113.488,2,199,58.7,-1.3,-22.8,37.6,150.7,1.14,2.02,59.8
-70.838,-56.571,5,232,62.2,-1.02,-16.7,37.8,184.4,1.53,1.56,63.0
-64.737,19.289,4,103,23.0,0.17,-6.7,39.1,47.8,1.31,4.35,22.8
-68.235,49.276,12,60,45.7,-0.41,-12.4,39.9,255.6,1.25,3.08,46.6
-62.205,-27.941,1,268,7.4,0.32,-7.6,7.1,96.1,1.44,5.08,8.1
-75.364,-157.668,5,105,76.3,-1.71,-21.3,8.8,312.5,1.36,1.76,78.2
-67.897,-94.466,12,148,43.2,-0.67,-13.5,20.4,283.7,1.26,3.41,43.3
-64.614,-106.889,8,116,57.6,0.18,-9.5,32.9,196.8,1.13,2.28,59.0
-72.705,-116.127,11,39,56.1,-1.26,-20.0,19.0,154.3,1.05,0.61,57.6
-73.41,-60.997,12,80,48.5,-0.91,-19.5,33.6,225.1,1.53,1.2,50.3
-68.097,-153.763,12,163,40.5,-0.15,-12.7,34.1,57.4,1.02,1.67,41.0
-62.099,58.8,6,185,29.9,0.68,-5.3,22.6,202.1,1.38,2.81,29.4
-71.772,-93.475,11,315,67.6,-1.09,-22.5,37.8,137.3,1.45,0.47,68.6
-64.968,-171.106,9,192,49.0,0.02,-11.0,16.0,234.6,0.64,0.54,48.9
-60.511,98.395,9,4,36.4,0.46,-3.7,12.9,246.7,1.52,1.06,37.2
-62.185,86.895,7,332,45.7,0.14,-5.6,5.9,258.1,0.16,0.54,45.4
-73.466,-154.641,4,133,56.0,-1.2,-21.1,16.7,140.2,0.3,0.28,57.8
-76.862,88.542,1,359,71.0,-1.73,-24.4,15.7,246.9,1.13,0.78,73.4
-71.135,115.964,1,243,38.1,-1.01,-14.5,34.5,305.8,0.6,2.5,38.7
-62.034,167.532,12,332,17.2,0.69,-4.0,25.5,44.4,0.11,2.98,17.4
-60.954,-70.311,12,177,10.4,0.81,-0.1,10.3,66.2,1.15,1.61,9.6
-65.922,24.225,1,282,26.8,-0.09,-10.9,7.5,35.4,1.33,2.28,27.2
-75.692,55.97,2,146,60.7,-1.24,-24.0,21.7,221.9,0.62,1.69,62.4
-71.439,-66.12,7,87,60.4,-1.04,-22.1,32.4,157.0,1.53,0.58,62.3
-62.198,-13.375,6,157,34.1,0.16,-5.3,8.0,101.0,1.5,3.55,33.9
-64.796,45.583,12,39,36.8,0.24,-7.2,35.1,208.4,1.41,1.08,36.4
-73.309,141.835,9,242,79.6,-1.36,-23.4,38.0,212.3,1.56,0.39,81.2
-76.37,-49.008,1,340,57.2,-1.3,-19.9,30.3,272.6,0.34,0.68,58.7
-67.815,133.99,3,248,42.7,-0.66,-9.7,13.6,95.2,0.5,2.48,43.4
-63.754,-40.286,8,24,37.3,0.27,-12.6,40.8,228.1,0.56,2.9,38.2
-67.737,-44.403,7,188,59.7,-0.14,-18.1,14.3,350.2,0.48,1.27,61.4
-71.789,105.357,10,4,66.3,-1.15,-22.4,7.9,231.7,0.46,0.64,67.5
-65.089,-137.401,4,213,36.2,0.13,-8.8,22.7,75.9,0.37,3.26,35.9
-77.223,26.455,3,69,67.9,-1.97,-24.3,7.1,93.0,0.41,2.3,69.8
-67.855,-173.297,12,339,45.6,-0.12,-14.8,27.4,169.7,0.92,0.99,46.3
-75.431,29.753,3,320,62.5,-1.58,-20.6,17.7,163.2,1.1,0.79,63.7
-76.046,-107.155,9,351,84.0,-1.74,-29.5,22.6,221.3,0.17,1.33,86.0
-75.885,-6.393,3,309,61.6,-1.81,-19.5,30.1,155.3,0.82,2.37,63.3
-70.279,157.832,8,196,65.3,-0.54,-15.3,36.0,207.4,0.82,0.81,66.8
-61.618,-149.826,10,279,30.6,0.29,-3.9,34.2,208.1,0.3,0.4,31.1
-65.62,-66.275,6,55,38.8,0.01,-13.2,36.6,152.5,0.72,1.27,39.9
-64.411,-31.238,9,248,40.4,0.12,-10.3,41.6,208.0,1.42,1.65,40.4
-62.451,-137.129,4,229,26.8,0.63,-8.2,23.8,283.0,1.46,2.77,27.5
-77.063,-39.923,11,3,83.0,-1.48,-26.4,27.2,31.7,0.55,0.73,85.0
-64.959,155.047,7,315,51.8,-0.12,-7.2,7.1,278.5,0.4,1.69,51.4
-62.69,155.073,9,147,35.0,0.5,-7.7,30.8,221.5,1.25,1.63,35.7
-60.438,-148.737,5,205,18.5,0.58,-2.4,24.2,265.3,0.22,0.8,18.2
-63.064,149.403,6,178,46.5,0.14,-6.8,12.2,334.7,1.08,1.11,46.7
-76.084,-153.941,5,175,82.6,-1.35,-21.2,37.4,292.7,1.08,1.24,84.9
-67.863,97.188,6,235,56.8,-0.15,-11.4,22.8,92.8,0.75,2.34,57.0
-65.379,108.058,7,181,50.4,-0.34,-8.8,14.2,33.5,1.25,2.67,50.2
-61.235,-8.44,6,112,39.0,0.39,-1.5,30.3,327.6,0.95,1.01,39.5
-62.291,-105.56,4,128,27.4,0.3,-2.6,9.4,28.3,1.72,2.29,26.6
-62.572,164.878,8,191,45.0,0.34,-3.9,38.2,312.8,0.93,3.39,45.9
-72.955,-100.047,10,66,61.3,-0.92,-21.5,25.0,180.9,0.77,1.92,62.1
-60.423,71.368,8,162,39.2,0.35,-7.2,26.5,117.2,1.14,1.21,39.7
-73.731,-10.316,10,176,70.1,-1.21,-24.8,30.9,134.0,1.55,0.79,71.2
-75.639,27.321,4,52,69.5,-1.29,-22.9,36.7,70.6,1.46,1.76,71.0
-77.825,-28.253,3,323,67.6,-1.64,-23.5,16.1,202.4,1.07,1.09,69.5
-76.919,112.975,8,323,82.3,-1.5,-29.7,18.3,200.7,1.48,0.7,84.1
-71.68,64.651,10,102,67.5,-0.83,-19.3,41.2,102.5,0.65,1.34,69.3
-69.955,-151.773,10,147,59.5,-0.41,-14.3,28.7,334.3,0.82,1.8,60.2
-61.673,-151.52,6,117,28.8,0.56,-4.0,27.4,142.4,1.61,3.35,29.8
-64.538,7.537,8,212,42.5,0.28,-13.6,13.7,90.6,1.36,2.74,42.8
-70.853,-145.601,8,281,61.3,-0.64,-19.1,41.9,37.4,1.15,0.45,63.3
-70.983,-97.432,12,146,48.5,-1.05,-16.7,11.3,12.7,0.71,3.02,50.3
-69.591,133.523,5,281,50.9,-0.35,-14.2,11.6,215.1,1.17,2.12,51.9
-68.578,50.23,5,178,48.2,-0.66,-17.7,16.4,148.4,0.36,0.33,49.4
-64.351,-130.932,5,241,35.2,0.21,-8.6,33.0,107.9,1.4,3.17,35.9
-63.658,17.356,4,211,32.8,0.15,-8.7,31.5,232.6,1.51,1.16,32.5
-66.744,5.98,10,356,53.2,-0.37,-10.8,34.9,148.6,1.55,0.79,53.5
-66.536,42.383,5,359,44.2,-0.4,-15.4,6.8,192.6,0.42,0.64,44.8
-65.126,81.759,4,47,23.1,-0.02,-10.0,16.5,287.8,1.8,2.28,24.2
-72.056,123.677,3,29,43.4,-1.04,-17.4,11.7,322.5,0.53,1.54,43.7
-60.457,77.286,7,227,28.6,0.93,-7.1,32.2,33.8,1.23,1.17,28.7
-60.698,157.037,3,323,14.8,0.75,-1.6,9.5,173.2,0.61,2.02,14.0
-65.999,170.379,4,325,31.7,-0.42,-7.6,26.6,142.5,0.51,3.93,32.4
-65.566,67.826,3,191,31.8,-0.22,-8.7,30.4,121.8,1.75,3.16,31.6
-71.601,-124.589,9,55,63.3,-1.07,-16.3,34.2,272.4,1.47,1.27,63.9
-65.594,-51.06,3,129,34.5,-0.09,-9.3,15.9,250.9,0.42,1.02,34.8
-64.817,-80.883,10,284,36.3,0.05,-10.5,35.3,195.0,0.87,3.05,36.9
-64.794,137.856,10,187,48.5,-0.12,-8.3,29.4,194.0,0.76,1.86,49.0
-68.074,40.694,6,210,56.7,-0.66,-14.4,7.5,300.7,0.32,2.57,57.1
-69.263,-144.449,10,329,64.6,-0.49,-16.0,30.9,92.1,0.72,1.63,64.8
-61.256,-104.854,8,41,37.5,0.61,-7.1,32.5,320.6,1.5,3.07,37.1
-66.895,10.447,12,37,42.7,-0.51,-13.5,24.2,36.4,0.49,1.56,43.0
-66.176,25.21,3,286,33.4,-0.21,-12.7,28.6,128.9,0.88,2.76,34.9
-74.997,-115.057,7,259,78.9,-1.59,-20.9,21.4,126.8,0.64,1.87,80.0
-71.309,95.106,7,166,72.0,-0.83,-22.0,33.3,333.4,0.53,2.12,73.3
-70.852,81.473,5,306,46.5,-1.03,-14.4,5.2,354.4,0.47,1.27,48.0
-61.02,116.041,9,262,36.7,0.81,-8.2,6.4,128.0,0.34,1.62,37.2
-73.806,111.987,2,293,50.0,-0.97,-18.1,31.8,285.4,0.39,2.7,51.5
-67.628,146.756,10,329,48.4,-0.22,-13.4,7.9,20.1,1.41,1.34,49.8
-70.503,132.419,4,335,55.0,-0.5,-15.1,28.4,19.5,0.99,1.14,56.1
-72.117,71.197,3,26,51.7,-0.68,-14.0,32.9,207.1,0.25,1.51,53.1
-75.336,-58.979,8,293,90.0,-1.4,-27.4,19.7,156.4,1.29,1.08,91.8
-74.434,-37.685,10,101,76.3,-1.01,-23.2,14.0,95.9,0.83,1.43,78.0
-75.974,-31.11,6,179,74.1,-1.61,-24.3,33.5,60.9,0.69,1.76,76.3
-66.783,-21.433,4,103,39.3,-0.45,-9.2,8.2,266.2,0.51,2.42,39.3
-63.016,-76.433,6,356,43.1,0.16,-7.8,17.3,266.4,0.46,2.07,44.0
-68.122,44.295,3,356,38.9,-0.72,-11.6,29.6,15.7,0.39,1.3,40.2
-66.877,-160.889,11,5,34.3,-0.16,-10.7,38.8,129.7,0.28,1.4,35.7
-71.043,172.725,9,364,60.9,-0.94,-16.4,24.7,67.1,0.95,1.37,62.8
-77.613,-90.939,9,157,87.5,-1.81,-31.2,17.8,126.7,1.16,0.46,90.5
-68.977,112.281,11,132,57.5,-0.31,-12.4,6.1,199.8,0.58,0.66,59.0
-66.175,-148.394,7,267,61.9,-0.09,-11.6,13.4,86.5,0.36,2.59,63.3
-72.073,15.204,4,335,46.0,-0.95,-16.0,36.9,111.2,1.3,1.92,46.4
-60.078,171.28,3,336,16.8,0.94,-2.6,25.6,341.5,0.3,1.8,17.5
-64.913,95.557,7,211,44.6,0.17,-8.3,28.6,265.8,0.36,0.9,44.4
-77.528,174.944,10,137,87.5,-1.67,-26.9,13.5,9.4,0.24,1.19,88.7
-62.77,-11.245,11,192,22.9,0.25,-6.6,11.1,81.5,0.79,4.32,24.0
-60.896,-99.88,11,104,28.1,0.32,-0.3,41.5,312.2,0.93,1.63,28.0
-73.558,-34.248,1,312,57.8,-1.25,-21.3,27.6,267.3,1.11,1.62,59.9
-63.835,7.434,8,234,53.3,-0.11,-5.6,24.2,142.4,1.35,1.83,53.7
-66.648,-162.254,5,226,40.1,-0.34,-9.1,22.1,152.1,1.14,0.51,40.7
-75.44,118.762,8,47,89.9,-1.68,-23.5,39.7,250.6,0.33,0.64,91.4
-74.78,32.514,12,104,69.9,-1.6,-23.6,29.0,256.1,0.38,1.74,70.8
-65.288,48.266,2,269,27.8,0.1,-4.3,27.6,57.6,1.04,0.55,27.5
-71.967,133.67,3,84,55.1,-1.15,-15.9,20.5,111.4,1.41,1.48,56.4
-75.884,-132.634,4,2,68.4,-1.65,-24.0,36.7,195.7,0.11,2.11,69.6
-67.4,-8.744,7,227,48.4,-0.27,-16.3,25.3,223.1,1.05,2.76,48.6
-75.331,55.18,1,75,66.1,-1.33,-19.6,16.0,331.3,0.18,1.16,66.9
-65.902,39.992,12,359,34.6,0.05,-12.4,21.8,208.4,1.68,0.69,35.0
-71.366,-43.582,2,219,50.8,-1.14,-16.8,9.5,309.4,0.66,1.48,51.4
-74.237,-159.054,10,323,75.0,-1.52,-21.4,27.4,283.7,1.3,0.99,77.1
-73.326,27.051,10,182,80.0,-1.08,-21.9,32.0,179.2,1.47,1.64,81.0
-72.771,-110.32,2,13,47.9,-0.9,-16.6,12.7,221.5,0.8,0.44,48.7
-63.491,-103.558,11,104,35.4,0.07,-10.8,16.1,198.0,1.4,0.75,35.7
-70.871,24.812,1,90,38.0,-0.61,-12.7,22.7,170.8,0.16,0.81,38.2
-69.709,131.481,6,237,65.0,-0.7,-14.9,35.9,107.8,1.33,0.95,66.0
-74.251,66.778,6,34,83.9,-1.41,-26.9,41.4,225.5,1.53,1.01,85.5
-67.287,131.254,5,362,51.4,-0.19,-14.4,8.2,315.7,0.73,2.66,51.9
-68.548,-116.995,6,20,61.0,-0.24,-15.7,5.9,173.8,0.95,0.71,62.7
-64.816,8.506,6,74,48.4,-0.21,-6.2,24.1,357.4,0.45,0.41,48.6
-62.433,-138.299,5,23,31.9,0.42,-9.2,22.3,16.6,0.98,2.79,32.1
-67.604,-67.629,4,165,32.4,-0.48,-11.9,33.6,241.6,0.56,0.94,32.5
-60.751,21.465,2,106,9.4,0.63,-3.6,39.9,289.4,1.08,1.25,9.2
-61.94,14.608,1,67,4.9,0.67,-7.3,19.2,31.0,0.77,3.86,6.0
-66.67,68.445,8,316,53.3,-0.33,-15.9,33.1,291.3,0.23,2.84,54.8
-67.78,-146.55,12,240,30.9,-0.49,-11.3,33.4,169.4,1.71,0.9,32.3
-73.355,-49.158,3,359,60.7,-1.26,-16.6,17.0,175.5,0.21,0.53,61.8
-62.776,-78.387,6,310,37.7,0.32,-8.0,31.4,38.5,1.05,0.59,37.8
-69.702,32.593,4,318,40.2,-0.85,-15.2,7.4,75.0,1.28,1.77,42.1
-67.79,-56.808,12,121,32.4,-0.28,-10.5,31.3,301.2,0.29,2.54,32.7
-76.242,-19.722,5,208,65.5,-1.79,-22.5,33.5,136.4,0.94,1.73,66.3
-63.293,139.414,11,1,36.1,0.34,-7.4,15.8,221.6,0.86,1.07,37.2
-72.605,105.965,11,156,70.4,-0.79,-18.3,38.9,356.5,1.09,1.47,71.6
-62.743,126.902,1,190,25.0,0.6,-8.8,25.7,352.3,0.29,1.51,24.6
-70.229,32.459,11,163,58.3,-0.78,-17.2,12.8,62.4,0.34,1.68,60.0
-71.515,-29.795,5,344,50.9,-1.19,-17.3,10.3,318.6,1.22,3.1,51.4
-75.53,110.139,8,357,87.9,-1.5,-28.4,23.8,198.7,0.87,0.61,89.2
-67.118,28.058,12,122,41.0,-0.43,-8.1,26.3,12.0,0.16,1.92,41.3
-67.555,166.226,2,73,35.8,-0.33,-8.4,32.8,100.6,0.98,2.19,36.5
-73.586,47.039,11,343,56.8,-1.11,-19.0,16.6,19.0,0.68,2.31,58.0
-68.772,-11.076,12,170,40.7,-0.24,-11.4,15.7,12.7,1.67,2.81,41.8
-67.853,-157.89,8,297,53.6,-0.66,-11.2,34.9,224.8,0.59,0.5,54.4
-62.674,-79.974,3,316,12.4,0.54,-8.6,9.1,62.9,1.11,1.13,12.8
-63.459,-85.949,12,121,24.2,0.4,-3.5,17.7,30.4,0.35,4.13,23.7
-69.073,177.691,7,122,65.6,-0.42,-19.3,26.4,303.1,0.19,0.83,67.4
-77.055,-12.955,8,155,90.4,-1.4,-24.6,13.6,246.1,0.76,0.45,92.1
-70.175,-76.035,8,196,71.5,-0.44,-16.9,6.5,330.4,1.18,2.13,72.4
-61.475,129.008,6,139,27.3,0.25,-4.2,19.5,278.3,1.37,3.22,27.7
-74.491,-58.534,12,93,57.6,-1.61,-25.7,7.5,148.0,0.99,2.04,59.1
-64.945,-89.317,1,13,26.7,-0.25,-7.1,38.1,78.1,1.12,0.86,28.0
-76.445,37.687,7,337,92.2,-1.5,-24.4,11.8,39.9,0.41,0.46,94.1
-76.637,-16.76,5,219,79.3,-1.51,-23.4,14.5,281.1,0.57,0.28,80.7
-60.073,-87.034,5,92,19.1,0.68,0.8,27.6,64.2,0.94,1.03,19.5
-74.069,51.602,8,133,73.0,-1.51,-23.2,14.3,160.5,1.62,0.49,74.8
-61.208,59.258,5,78,28.0,0.77,-3.6,24.1,338.4,0.93,2.05,28.7
-63.943,102.737,9,116,35.3,0.42,-6.9,22.8,204.2,1.69,1.62,36.0
-70.789,47.618,11,47,53.3,-0.59,-18.8,36.1,273.8,0.59,0.84,54.6
-60.585,57.864,5,357,19.8,0.38,-1.8,23.0,318.7,0.84,1.21,19.0
-77.543,178.698,4,251,69.3,-1.56,-24.8,23.5,347.4,1.48,2.25,70.1
-71.893,-58.421,12,22,50.8,-1.12,-16.9,24.4,338.4,1.58,1.84,52.4
-73.806,-154.068,12,73,58.8,-1.51,-17.5,27.9,87.4,1.2,0.29,60.3
-61.716,115.466,2,234,13.9,0.66,-6.6,35.2,41.1,1.11,3.16,13.4
-74.352,-58.556,12,348,58.9,-1.52,-20.1,25.2,115.8,1.74,0.8,59.5
-74.878,-157.24,5,73,74.7,-1.57,-24.2,11.1,87.7,1.09,0.44,76.9
-66.62,-44.593,3,9,37.5,-0.47,-14.1,39.3,254.4,1.11,1.32,38.8
-63.74,-8.636,3,106,13.2,0.04,-6.6,13.9,62.8,1.28,3.1,14.0
-66.983,-148.312,5,179,41.7,-0.24,-14.7,41.5,351.6,1.15,3.14,43.5
-68.864,-12.882,11,338,43.7,-0.8,-17.9,10.5,303.8,1.65,1.9,44.3
-61.392,-160.55,6,146,25.8,0.36,-4.4,37.9,163.1,0.28,0.6,26.1
-75.155,-169.537,9,60,74.1,-1.56,-25.5,26.5,150.9,1.37,1.91,75.3
-76.018,-97.998,4,212,73.8,-1.6,-26.1,22.4,174.4,1.61,0.47,76.3
-69.81,-40.561,3,235,45.0,-0.58,-10.8,12.5,45.8,1.28,0.5,45.1
-62.67,-14.912,3,176,11.2,0.21,-7.4,34.4,343.0,1.64,3.07,11.7
-73.865,-31.789,9,251,85.6,-1.4,-23.5,22.1,5.2,0.83,1.39,86.7
-70.184,-99.934,10,77,69.2,-0.48,-18.2,6.6,356.9,1.35,1.28,70.2
-70.902,111.498,12,51,48.4,-0.97,-16.3,5.5,263.4,1.71,0.69,49.1
-66.342,-147.337,8,343,51.2,-0.06,-10.2,32.6,8.8,0.87,2.5,52.5
-70.704,104.349,6,321,62.0,-0.71,-15.4,7.6,321.6,0.67,0.32,62.9
-73.144,160.594,9,295,81.8,-0.95,-25.6,37.6,264.9,0.19,1.66,83.8
-62.016,-140.052,6,239,36.1,0.34,-8.8,25.7,24.1,1.31,1.07,37.5
-73.705,-139.119,8,298,87.1,-1.08,-21.3,33.2,115.4,1.63,0.83,88.4
-77.02,-45.787,8,249,90.8,-1.47,-28.1,24.7,297.1,1.63,0.67,92.4
-65.88,69.56,2,97,33.4,-0.14,-12.3,38.2,103.8,1.73,0.76,33.8
-65.453,-1.322,4,267,40.2,-0.34,-9.9,30.2,335.4,0.91,1.73,41.3
-77.613,-111.938,1,119,73.3,-1.73,-26.8,26.4,236.1,1.44,1.14,75.4
-68.457,17.449,8,156,63.5,-0.24,-17.5,34.2,81.6,0.73,0.91,65.2
-75.33,-77.622,3,317,67.5,-1.3,-24.0,41.0,302.2,1.28,1.68,68.5
-73.718,-165.185,6,295,65.3,-1.35,-25.0,25.8,12.5,0.64,1.01,66.7
-68.282,-121.465,5,63,56.0,-0.51,-14.0,10.4,164.9,0.64,0.28,57.3
-60.439,-60.739,12,152,13.9,0.51,1.3,41.3,206.5,0.35,2.94,14.5
-70.042,68.093,12,246,54.5,-0.91,-15.2,16.4,144.6,1.53,1.49,54.8
-77.009,50.873,10,270,78.1,-1.4,-28.8,5.8,193.8,0.86,1.35,79.3
-68.788,-109.998,6,309,58.4,-0.25,-12.3,18.4,53.3,1.55,1.21,58.9
-72.876,-53.512,8,288,68.7,-0.95,-22.6,41.7,289.3,0.59,1.94,71.0
-70.371,142.714,3,301,44.4,-0.95,-17.0,41.6,189.1,0.67,3.25,45.7
-71.236,-177.617,11,140,55.7,-0.83,-16.4,32.9,49.3,0.42,1.29,56.9
-77.24,117.449,10,156,84.3,-1.55,-29.5,34.3,55.4,0.61,1.1,86.5
-75.765,59.729,5,214,66.1,-1.25,-23.2,6.1,275.3,0.94,2.4,67.8
-71.488,-7.025,7,133,73.0,-0.91,-18.4,9.4,184.5,1.08,1.85,73.6
-76.947,-64.915,12,70,66.6,-1.92,-26.3,28.5,343.9,0.18,0.87,68.7
-76.617,-110.227,11,94,80.7,-1.55,-28.2,16.9,113.8,1.54,1.47,82.2
-65.437,-49.492,9,297,47.3,-0.27,-14.5,15.4,280.4,0.8,3.09,47.6
-74.078,1.218,4,287,62.2,-1.06,-21.0,24.7,198.4,1.39,0.52,63.5
-76.625,114.784,1,246,60.3,-1.49,-27.0,21.4,355.5,0.99,2.66,61.5
-72.516,88.006,2,114,40.3,-0.92,-16.6,16.4,75.5,1.77,1.74,41.9
-75.989,-173.23,8,221,78.1,-1.76,-24.1,24.0,21.3,0.3,0.62,79.0
-65.983,91.638,2,309,20.1,0.11,-11.6,18.0,32.7,1.54,4.34,21.6
-71.739,-122.199,9,314,66.1,-0.89,-23.5,26.4,5.0,0.47,0.65,67.2
-61.77,13.366,12,51,27.4,0.71,-1.3,22.6,251.3,0.41,2.98,26.7
-62.975,173.268,7,110,42.3,0.23,-6.1,16.6,167.7,0.98,1.93,42.4
-72.811,79.969,2,168,48.6,-1.15,-18.9,32.2,247.3,1.53,0.97,49.7
-60.271,-25.934,2,244,15.7,0.58,-5.0,29.9,242.0,0.77,2.71,16.2
-75.854,-37.868,12,303,75.4,-1.36,-20.5,11.2,130.9,0.44,0.56,77.4
-70.723,-96.167,7,256,63.4,-0.66,-18.3,15.1,284.2,1.19,1.18,64.5
-67.143,-34.4,8,262,53.4,-0.13,-17.3,14.3,179.0,1.17,0.65,53.7
-77.049,-155.438,11,14,86.3,-1.74,-24.7,10.7,223.9,0.26,0.25,88.4
-64.184,105.383,4,151,30.2,0.11,-9.3,17.7,309.5,1.03,3.94,29.9
-70.253,149.378,7,231,62.6,-0.8,-18.6,6.2,200.4,1.56,0.96,64.2
-69.153,-131.584,12,200,43.3,-0.81,-12.9,29.4,246.7,1.07,1.84,44.8
-68.88,-39.101,8,303,73.0,-0.46,-17.8,41.2,115.4,0.15,0.28,74.7
-71.72,87.141,1,321,43.8,-1.17,-18.5,18.2,126.5,1.22,1.1,45.3
-67.334,147.74,2,157,22.7,-0.52,-10.6,6.4,236.8,0.82,2.49,23.3
-77.633,-10.908,1,163,64.2,-1.81,-24.9,34.9,36.0,1.25,1.01,65.9
-64.232,-57.766,10,154,38.4,0.07,-9.3,36.4,283.4,1.53,2.16,38.6
-77.144,178.642,7,116,91.8,-1.41,-26.1,26.4,213.1,0.56,0.78,93.6
-70.312,-54.966,2,334,46.8,-0.73,-16.7,29.5,112.8,0.8,1.07,47.9
-65.912,17.122,1,322,31.6,0.1,-8.6,12.9,346.4,1.36,2.09,32.9
-68.411,41.192,7,290,64.7,-0.73,-18.1,22.1,86.5,1.37,1.99,66.5
-70.615,129.667,2,325,35.5,-0.83,-12.9,28.9,92.3,1.12,1.78,35.7
-74.546,-91.589,5,238,68.2,-1.03,-23.3,38.5,72.7,0.56,0.28,70.2
-73.0,18.254,11,22,72.6,-1.11,-24.4,36.8,30.2,1.12,1.91,74.9
-70.674,-49.164,11,47,53.5,-0.58,-14.6,13.7,205.6,0.95,0.61,54.7
-67.552,99.042,9,129,57.2,-0.59,-13.7,33.6,112.8,1.51,2.19,58.6
-64.609,156.78,4,74,20.5,-0.11,-9.8,20.1,310.6,0.2,2.63,21.5
-75.967,16.468,8,350,82.2,-1.65,-24.2,10.4,171.1,0.73,0.64,84.1
-61.706,-167.469,12,340,24.7,0.2,-0.7,29.8,91.1,0.75,2.93,25.1
-61.743,66.689,9,122,45.1,0.39,-3.2,19.5,352.1,0.53,0.59,45.8
-73.762,-104.261,3,225,56.4,-0.98,-18.0,20.0,12.2,1.57,2.45,58.4
-69.52,-31.334,6,217,66.3,-0.43,-14.0,30.8,182.3,0.7,1.57,67.8
-64.72,-16.826,1,27,26.4,-0.15,-8.0,28.7,1.1,0.44,1.58,27.0
-76.005,-90.143,12,333,71.6,-1.31,-22.4,34.3,115.0,0.91,1.68,72.7
-65.626,117.637,5,102,30.4,-0.16,-11.2,19.0,300.5,1.07,0.45,30.2
-67.946,40.321,4,46,49.0,-0.58,-11.1,11.2,144.4,0.83,1.07,49.0
-71.377,161.008,2,8,48.3,-0.92,-13.2,21.8,242.5,0.3,2.43,48.6
-62.485,101.564,5,254,25.9,0.31,-8.3,13.0,296.7,1.34,1.13,25.8
-63.736,-169.642,5,121,34.8,0.43,-8.7,30.3,164.9,0.12,0.83,35.0
-65.526,67.267,12,197,35.6,0.07,-11.3,8.5,21.2,0.67,1.18,37.0
-60.059,158.156,10,364,32.2,0.42,-5.4,27.9,108.9,0.77,1.72,33.3
-67.928,28.975,5,87,46.5,-0.14,-10.5,9.9,114.2,1.0,0.74,46.5
-77.205,-133.966,5,185,85.9,-1.82,-23.4,27.7,274.2,0.55,0.59,88.2
-72.32,178.043,3,285,56.0,-0.92,-15.7,7.0,53.5,0.49,0.36,56.6
-65.293,-22.885,8,21,50.5,0.26,-11.1,21.9,40.5,1.32,0.72,50.9
-74.333,-77.718,3,261,62.1,-1.25,-19.6,12.9,359.3,0.11,2.09,62.9
-61.433,-91.383,8,347,30.7,0.4,-8.0,41.3,43.9,0.74,3.83,30.4
-72.176,-169.605,8,363,77.8,-1.02,-17.5,27.0,2.1,1.75,1.33,79.8
-72.152,83.356,12,292,46.1,-0.77,-16.1,15.5,287.3,1.36,1.99,47.3
-76.334,-88.141,4,205,59.2,-1.36,-27.0,33.8,102.6,1.38,1.91,60.3
-69.165,-24.351,5,351,52.6,-0.66,-18.5,18.6,72.0,0.86,1.37,53.4
-67.194,-147.52,7,189,58.4,-0.34,-14.6,6.5,123.0,0.89,0.83,59.7
